"","Variables","Rsq"
"4","Agric_m",0.0302187655472637
"5","Highway_m",0.174590457778328
"3","Gravel",5.43722918810339e-05
"2","Waste",0.00409779846711247
"21","Water_PC1",0.172441833316293
"31","Water_PC2",0.0429218469894075
"41","Water_PC3",0.0710830927306273
"51","Macrophytes",0.0319785793198424
"6","Fish",0.0748704266867629
