"","Variables","Rsq"
"4","Agric_m",0.0610771781404144
"5","Highway_m",0.183021233968269
"3","Gravel",0.00903591130559142
"2","Waste",0.0333697999289556
"21","Water_PC1",0.0992708970512077
"31","Water_PC2",0.0615401393463657
"41","Water_PC3",0.181224614824521
"51","Macrophytes",0.105279458819699
"6","Fish",0.00998413398581366
