"","Df","SumOfSqs","R2","F","Pr(>F)"
"Water_PC1",1,1.26305995869411,0.0675747660113351,3.61639605175822,0.000999000999000999
"Water_PC2",1,0.812905089299009,0.0434911033484098,2.3275116396173,0.000999000999000999
"Water_PC3",1,0.74441286478455,0.0398267119524973,2.13140455174293,0.004995004995005
"Macrophyte_biomass",1,0.522586927679476,0.0279588384664131,1.49627204073073,0.0539460539460539
"Fish_abundance",1,0.330181273160445,0.0176649747476836,0.945375747527052,0.516483516483517
"Residual",43,15.018149961048,0.803483605473661,NA,NA
"Total",48,18.6912960746656,1,NA,NA
