"","Variables","Rsq"
"4","Agric_m",0.0118801701040433
"5","Highway_m",0.0630159997111853
"3","Gravel",0.0216020816781814
"2","Waste",0.0226498815075237
"41","Water_PC1",0.0010806302014212
"51","Water_PC2",0.0542100659671468
"6","Water_PC3",0.144979191419911
"7","Macrophytes",0.00103110820526488
"8","Fish",0.00206833096635409
