"","Variables","Rsq"
"4","Agric_m",0.0125088747703049
"5","Highway_m",0.0629411836648383
"3","Gravel",0.0132728553260901
"2","Waste",0.000287737644885966
"21","Water_PC1",0.128564799022561
"31","Water_PC2",0.081180601427151
"41","Water_PC3",0.0354000774543284
"51","Macrophytes",0.0741659082943355
"6","Fish",0.14260050433067
