"","Variables","R2"
"Agric_m_log","Agric_m",0.0642861785402263
"Highway_m_log","Highway_m",0.0512186597648686
"Gravel_ef","Gravel",0.101202073102828
"Waste.ef","Waste",0.0481761527781944
"Water_PC1","Water_PC1",0.0808866163305547
"Water_PC2","Water_PC2",0.0328704099702325
"Water_PC3","Water_PC3",0.0237468075863191
"Macrophyte_biomass","Macrophytes",0.0602073507976182
"Fish_abundance","Fish",0.00621314778592014
