"","Df","SumOfSqs","R2","F","Pr(>F)"
"Water_PC1",1,0.161645473781853,0.0808866163305547,4.3690878192626,0.002997002997003
"Water_PC2",1,0.065688901750176,0.0328704099702325,1.7754940721987,0.122877122877123
"Water_PC3",1,0.0474561075395988,0.0237468075863191,1.28268300095238,0.228771228771229
"Macrophyte_biomass",1,0.120319605224417,0.0602073507976182,3.25209799758403,0.016983016983017
"Fish_abundance",1,0.0124164820225315,0.00621314778592014,0.33560296551171,0.898101898101898
"Residual",43,1.5908939486121,0.796075667529355,NA,NA
"Total",48,1.99842051893067,1,NA,NA
