,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79,sp80,sp81,sp82,sp83,sp84,sp85,sp86,sp87,sp88,sp89,sp90,sp91,sp92,sp93,sp94,sp95,sp96,sp97,sp98,sp99,sp100,sp101,sp102,sp103,sp104,sp105,sp106,sp107,sp108,sp109,sp110,sp111,sp112,sp113,sp114,sp115,sp116,sp117,sp118,sp119,sp120,sp121,sp122,sp123,sp124,sp125,sp126,sp127,sp128,sp129,sp130,sp131,sp132,sp133,sp134,sp135,sp136,sp137,sp138,sp139,sp140,sp141
I1_2016,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,144,0,0,0,0,0,0,0,5.33,0,0,5.33,0,0,0,0,0,5.33,0,5.33,5.33,0,0,0,0,0,0,0,0,10.67,0,0,0,0,69.33,592,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,138.67,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,16,0,58.67,0
I2_2016,0,0,0,0,0,0,0,0,0,0,10.67,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,5.33,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2346.67,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,16,0,5.33,0
I3_2016,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,26.67,954.67,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,64,0,37.33,0
II1_2016,0,0,0,0,0,0,0,5.33,0,0,74.67,0,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,5.33,37.33,0,0,0,0,0,0,0,5.33,0,0,5.33,5.33,0,0,0,0,0,0,0,5.33,0,10.67,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,218.67,0,10.67,0,0,21.33,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,69.33,0,0,0,0,85.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.33,0
II2_2016,5.33,0,0,0,0,0,0,0,0,0,32,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5.33,10.67,0,0,0,0,0,0,240,0,5.33,0,0,48,0,0,0,0,0,0,32,0,0,0,0,5.33,0,0,0,0,0,0,0,181.33,0,0,0,0,170.67,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,165.33,0
II3_2016,0,0,0,0,0,0,0,0,0,0,21.33,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,106.67,0,5.33,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.67,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33,0
III1_2016,0,0,0,0,0,0,0,0,0,0,0,0,21.33,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.67,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III2_2016,0,0,0,0,0,0,0,0,0,0,64,0,16,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.67,0,0,5.33,0,0,0,0,0,0,0,0,5.33,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0
III3_2016,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0
IV1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,138.67,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV3_2016,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.67,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.33,0,0,0,0,0,0,0,0,16,0,0,0,5.33,0,0,0,122.67,0,0,0,0,0,0,0,0,0,0,0,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.67,0,0,0,0,5.33,0,0,0,0,85.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
V1_2016,0,0,0,0,0,0,0,5.33,0,0,25,0,282.67,0,0,0,0,0,0,0,0,21.33,0,48,0,5.33,0,26.67,0,0,0,10.67,0,0,0,5.33,0,0,0,0,0,0,0,0,0,37.33,256,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,5.33,0,90.67,0,0,0,0,5.33,0,0,0,0,0,272,0,0,0,0,0,0,0,96,0,0,0,0,0,0,10.67,0,0,10.67,0,0,0,0,0,0,0,0,0,330.67,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.67,0
V2_2016,0,0,0,0,0,0,0,0,0,0,5.33,0,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5.33,0,0,0,0,0,21.33,0,0,0,10.67,0,0,0,0,10.67,0,0,0,0,0,64,48,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.67,0,0,0,0,117.33,149.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.33,5.33
V3_2016,0,0,0,0,0,0,0,0,0,0,10.67,0,48,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,26.67,0,42.67,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,368,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,42.67,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,10.67,5.33
VI1_2016,0,0,0,0,0,0,0,0,0,0,32,0,64,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,21.33,96,0,0,5.33,0,32,0,0,0,42.67,0,0,0,0,0,0,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33,5.33,0,0,0,0,0,0,0,0,0,0,0,58.67,0,0,0
VI2_2016,0,0,0,0,0,0,0,0,0,0,5.33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,10.67,0,0,0,0,0,5.33,0,0,0,138.67,0,0,0,5.33,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,106.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI3_2016,0,0,0,0,0,0,0,0,0,0,16,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,21.33,21.33,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1_2017,0,0,0,0,0,0,0,0,0,0,5.33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,5.33,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0
I2_2017,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.67,0,0,0,32,0,0,5.33,0,0,0,5.33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,10.67,5.33,0,0,0,0,0,0,0,0,0,0,42.67,0,0,0,10.67,0,5.33,0,0,0,0,0,5.33,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33,0,0,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0
I3_2017,0,0,0,0,0,0,0,0,0,0,5.33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.67,0,0,0,10.67,0,0,0,5.33,0,0,16,58.67,5.33,0,0,0,5.33,0,0,0,0,0,0,0,0,5.33,0,32,0,0,0,0,0,0,0,5.33,0,0,0,21.33,0,0,0,5.33,0,0,0,0,0,0,0,5.33,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5.33,0,32,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,10.67,0
II1_2017,0,0,0,0,0,85.33,0,16,0,0,144,0,16,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,16,64,0,0,10.67,0,0,0,16,0,0,0,0,0,0,0,0,64,0,5.33,0,10.67,0,0,0,0,0,0,5.33,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,5.33,0,0,53.33,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,42.67,0,0,261.33,0,0,0,0,0,64,74.67,0,0,74.67,0,0,0,0,0,0,0,0,0,5.33,0,0,0,10.67,160,0
II2_2017,0,0,0,0,5.33,96,0,5.33,0,0,170.67,0,5.33,85.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,5.33,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,37.33,0,42.67,0,0,0,0,0,0,32,0,0,0,10.67,0,0,53.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5.33,5.33,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,58.67,0
II3_2017,0,0,0,0,0,0,0,10.67,0,0,170.67,0,138.67,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,53.33,48,0,0,0,0,0,0,0,0,10.67,0,0,0,0,16,0,0,10.67,0,0,0,0,0,0,5.33,0,0,5.33,74.67,0,0,0,0,0,16,0,0,0,0,0,0,0,37.33,0,0,0,0,0,0,0,0,37.33,0,0,0,0,0,0,53.33,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,250.67,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,16,0,0,133.33,0
III1_2017,0,0,0,0,0,42.67,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,16,0,5.33,0
III2_2017,0,0,0,0,0,0,0,0,0,0,16,0,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,501.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.33,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0
III3_2017,0,0,0,0,0,21.33,0,0,0,0,26.67,0,16,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,293.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,5.33,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,5.33,37.33,5.33,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,10.67,0,0,5.33,0,10.67,0,0,80,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,5.33,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,5.33,0,0,64,0,0,21.33,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
IV2_2017,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,10.67,0,0,0,0,16,0,0,0,154.67,16,0,0,0,0,5.33,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,32,80,5.33,0,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,16,5.33,5.33,0,0,0,0,0,0,0,0,5.33,0,0,0,5.33,0,0,32,0,32,16,0,0,0,0,0,5.33,0,0,0,5.33,5.33,0,197.33,42.67,0,0,0
IV3_2017,0,0,0,0,0,0,0,0,0,0,10.67,0,5.33,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,5.33,0,0,42.66,0,0,0,0,0,0,16,0,0,0,410.67,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,16,0,0,0,0,5.33,0,0,0,0,5.33,32,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,37.33,0,5.33,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5.33,0
